series number,product type,model,repair operation number,previous repair operation number,time since previous repair,censored,age after repair,repair center,Component A,Component B,Component C,Component D,Component E,Component F,Component H,Component I,Component J,Component K,next_failure_time,next_failure_time_censored
sn_000001,product A,V1E1,po_000001,MFG,1260,0,1260,center_0,0,0,0,1,1,0,0,0,0,0,1319,0
sn_000001,product A,V1E2,po_000002,po_000001,1319,0,2579,center_1,0,0,0,0,1,0,0,0,0,0,969,1
sn_000001,product A,V1E2,po_000003,po_000002,969,1,3548,center_1,0,0,0,0,0,0,0,0,0,0,,
sn_000002,product A,V1E1,po_000004,MFG,2159,0,2159,center_0,0,0,0,0,1,0,0,0,0,0,1410,1
sn_000002,product A,V1E2,po_000005,po_000004,1410,1,3569,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000003,product A,V1E1,po_000006,MFG,399,1,399,center_0,0,0,0,0,0,0,0,0,0,0,508,0
sn_000003,product A,V1E1,po_000007,po_000006,508,0,907,center_2,0,0,0,0,1,0,0,0,0,0,2628,1
sn_000003,product A,V1E2,po_000008,po_000007,2628,1,3535,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000004,product A,V1E1,po_000009,MFG,751,0,751,center_0,0,0,0,0,1,0,0,0,0,0,1554,1
sn_000004,product A,V1E2,po_000010,po_000009,1554,1,2305,center_2,0,0,0,0,1,0,0,0,0,0,,
sn_000005,product A,V1E1,po_000011,MFG,911,0,911,center_0,0,0,0,0,1,0,0,0,0,0,1371,0
sn_000005,product A,V1E2,po_000012,po_000011,1371,0,2282,center_2,0,0,0,0,1,0,0,0,0,0,1276,1
sn_000005,product A,V1E2,po_000013,po_000012,1276,1,3558,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000006,product A,V1E1,po_000014,MFG,1068,0,1068,center_0,0,0,0,0,1,0,0,0,0,0,797,1
sn_000006,product A,V1E2,po_000015,po_000014,797,1,1865,center_2,0,0,0,0,0,0,0,0,0,0,503,0
